Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R1,6,Large,6,2,24/10/2021,larva,5,11,38.5,6DOL
R2,24,Control,7,3,01/02/2022,larva,7,6,38.43,7DOL
R2,7,Control,7,3,01/02/2022,larva,7,6,38.41,7DOL
R3,97,Large,8,4,28/06/2022,larva,13,20,38.4,8DOL
R3,8,Control,7,3,23/06/2022,larva,11,13,38.4,7DOL
R2,11,Control,9,5,03/02/2022,larva,7,17,38.31,9DOL
R3,19,Control,8,4,24/06/2022,larva,9,16,38.3,8DOL
R3,89,Large,8,4,28/06/2022,larva,13,20,38.3,8DOL
R1,2,Large,5,1,23/10/2021,larva,5,5,38.3,5DOL
R2,4,Control,10,6,04/02/2022,larva,7,24,38.2,10DOL
R1,20,Large,8,4,26/10/2021,larva,6,24,38.2,8DOL
R3,6,Control,8,4,24/06/2022,larva,11,18,38.2,8DOL
R2,3,Control,7,3,01/02/2022,larva,7,6,38.2,7DOL
R3,21,Control,10,6,26/06/2022,larva,12,29,38.1,10DOL
R3,56,Large,8,4,28/06/2022,larva,13,20,38.1,8DOL
R1,8,Large,7,3,25/10/2021,larva,4,16,38.1,7DOL
R1,3,Control,7,3,25/10/2021,larva,2,14,38,7DOL
R1,4,Control,7,3,25/10/2021,larva,2,14,37.9,7DOL
R3,20,Control,7,3,23/06/2022,larva,9,11,37.9,7DOL
R2,15,Control,8,4,02/02/2022,larva,7,11,37.75,8DOL
R3,23,Control,7,3,23/06/2022,larva,11,13,37.7,7DOL
R1,3,Large,5,1,23/10/2021,larva,4,4,37.7,5DOL
R3,34,Large,8,4,28/06/2022,larva,13,20,37.6,8DOL
R1,16,Large,5,1,23/10/2021,larva,4,4,37.6,5DOL
